instance;m;j;t;sw;dens;fmax;time(s);gap
1;2;10;10;(2,4);[3,5];32;437;0
2;2;10;10;(2,4);[3,5];31;439.516;0
3;2;10;10;(2,4);[3,5];30;367.719;0
4;2;10;10;(2,4);[3,5];24;233.391;0
5;2;10;10;(2,4);[3,5];22;174.062;0
6;2;10;10;(2,4);[3,5];25.99999995;465.609;0
7;2;10;10;(2,4);[3,5];31;313.453;0
8;2;10;10;(2,4);[3,5];27.99999999;287.187;0
9;2;10;10;(2,4);[3,5];30;204.718;0
10;2;10;10;(2,4);[3,5];32;65.313;0
11;2;10;10;(2,4);[3,5];32;185.031;0
12;2;10;10;(2,4);[3,5];35;215.203;0
13;2;10;10;(2,4);[3,5];25;460.25;0
14;2;10;10;(2,4);[3,5];33.99999998;257.187;0
15;2;10;10;(2,4);[3,5];32;304.969;0
16;2;10;10;(2,4);[3,5];28;369.422;0
17;2;10;10;(2,4);[3,5];29;271.422;0
18;2;10;10;(2,4);[3,5];26;507.062;0
19;2;10;10;(2,4);[3,5];32;463.422;0
20;2;10;10;(2,4);[3,5];26;100.156;0
21;2;15;10;(2,4);[3,5];39;3604.703;0
22;2;15;10;(2,4);[3,5];44.99999996;3607.953;0
23;2;15;10;(2,4);[3,5];40;3601.5;0
24;2;15;10;(2,4);[3,5];39;3611.047;0
25;2;15;10;(2,4);[3,5];44;3608.094;0
26;2;15;10;(2,4);[3,5];45;3601.625;0
27;2;15;10;(2,4);[3,5];35;3607.578;0
28;2;15;10;(2,4);[3,5];33;3603.906;0
29;2;15;10;(2,4);[3,5];33;3603.282;0
30;2;15;10;(2,4);[3,5];48.99999999;3605;0
31;2;15;10;(2,4);[3,5];43;3603.578;0
32;2;15;10;(2,4);[3,5];44;3611.063;0
33;2;15;10;(2,4);[3,5];45;3612.031;0
34;2;15;10;(2,4);[3,5];46;3612.235;0
35;2;15;10;(2,4);[3,5];56;3608.938;0
36;2;15;10;(2,4);[3,5];40;3609.781;0
37;2;15;10;(2,4);[3,5];52;3607.282;0
38;2;15;10;(2,4);[3,5];54.00000008;3608.266;0
39;2;15;10;(2,4);[3,5];35;3609.141;0
40;2;15;10;(2,4);[3,5];54;3607.813;0
41;2;10;15;(2,4);[3,5];42;1330.781;0
42;2;10;15;(2,4);[3,5];39;1164.5;0
43;2;10;15;(2,4);[3,5];31;986.797;0
44;2;10;15;(2,4);[3,5];35.00000003;673.125;0
45;2;10;15;(2,4);[3,5];34;929.766;0
46;2;10;15;(2,4);[3,5];37.00000003;696.157;0
47;2;10;15;(2,4);[3,5];31;554.547;0
48;2;10;15;(2,4);[3,5];37;309.625;0
49;2;10;15;(2,4);[3,5];36;1829.531;0
50;2;10;15;(2,4);[3,5];37;3600.203;0
51;2;10;15;(2,4);[3,5];37;1119.922;0
52;2;10;15;(2,4);[3,5];36;1074.469;0
53;2;10;15;(2,4);[3,5];36;3600.203;0
54;2;10;15;(2,4);[3,5];42;1216.844;0
55;2;10;15;(2,4);[3,5];39.99999999;358.516;0
56;2;10;15;(2,4);[3,5];37;501.282;0
57;2;10;15;(2,4);[3,5];29;1049.062;0
58;2;10;15;(2,4);[3,5];36.99999997;468.046;0
59;2;10;15;(2,4);[3,5];38;2914.375;0
60;2;10;15;(2,4);[3,5];41;1962.046;0
61;2;15;15;(2,4);[3,5];54;3611.484;0
62;2;15;15;(2,4);[3,5];56;3600.266;0
63;2;15;15;(2,4);[3,5];46;3603.422;0.845603792
64;2;15;15;(2,4);[3,5];54;3603.953;0.817901235
65;2;15;15;(2,4);[3,5];48;3603.812;0.791666667
66;2;15;15;(2,4);[3,5];57;3607.421;0.824129907
67;2;15;15;(2,4);[3,5];61;3605.375;0.844262295
68;2;15;15;(2,4);[3,5];55;3602.844;0.83538458
69;2;15;15;(2,4);[3,5];55;3605.109;0.836283459
70;2;15;15;(2,4);[3,5];51;3608.172;0.823529412
71;2;15;15;(2,4);[3,5];55;3606.687;0.8
72;2;15;15;(2,4);[3,5];50;3606.734;0.82
73;2;15;15;(2,4);[3,5];63;3603.875;0.840898948
74;2;15;15;(2,4);[3,5];52;3605.094;0.825370105
75;2;15;15;(2,4);[3,5];51;3600.156;0.803921569
76;2;15;15;(2,4);[3,5];49.00000001;3605.36;0.816326531
77;2;15;15;(2,4);[3,5];53;3604.516;0.84724874
78;2;15;15;(2,4);[3,5];54;3611.312;0.814814815
79;2;15;15;(2,4);[3,5];55;3600.281;0.817399369
80;2;15;15;(2,4);[3,5];58;3607.391;0.844827586
81;3;15;15;(2,4);[5,7];29;3605.485;0.739463602
82;3;15;15;(2,4);[5,7];25;3609.125;0.75963618
83;3;15;15;(2,4);[5,7];27;3607.547;0.703576865
84;3;15;15;(2,4);[5,7];20;3604.39;0.7
85;3;15;15;(2,4);[5,7];21;3606.703;0.714285714
86;3;15;15;(2,4);[5,7];27;3612.11;0.740740741
87;3;15;15;(2,4);[5,7];25;3605.875;0.68
88;3;15;15;(2,4);[5,7];32.99999999;3609.641;0.727272727
89;3;15;15;(2,4);[5,7];26;3606;0.653846154
90;3;15;15;(2,4);[5,7];25;3606.641;0.72
91;3;15;15;(2,4);[5,7];25;3606.281;0.64
92;3;15;15;(2,4);[5,7];25;3606.531;0.799134199
93;3;15;15;(2,4);[5,7];26;3609.531;0.730465053
94;3;15;15;(2,4);[5,7];28;3610.984;0.785714286
95;3;15;15;(2,4);[5,7];24;3606.391;0.666666667
96;3;15;15;(2,4);[5,7];25;3604.282;0.758095238
97;3;15;15;(2,4);[5,7];29;3611.844;0.758008899
98;3;15;15;(2,4);[5,7];22;3605.641;0.727272727
99;3;15;15;(2,4);[5,7];25;3604.813;0.75826506
100;3;15;15;(2,4);[5,7];26.99999998;3605.437;0.740740741
101;3;20;15;(2,4);[5,7];39;3611.094;0.820512821
102;3;20;15;(2,4);[5,7];26;3611.204;0.807692308
103;3;20;15;(2,4);[5,7];41;3606.188;0.780487805
104;3;20;15;(2,4);[5,7];36;3616.718;0.777777778
105;3;20;15;(2,4);[5,7];40;3609.234;0.825
106;3;20;15;(2,4);[5,7];36;3602.125;0.861111111
107;3;20;15;(2,4);[5,7];48;3606.938;0.8125
108;3;20;15;(2,4);[5,7];31;3609.406;0.774193548
109;3;20;15;(2,4);[5,7];33;3614.546;0.787878788
110;3;20;15;(2,4);[5,7];32;3610.078;0.75
111;3;20;15;(2,4);[5,7];34.00000951;3611.641;0.823529461
112;3;20;15;(2,4);[5,7];38;3606.578;0.815789474
113;3;20;15;(2,4);[5,7];42;3610.484;0.80952381
114;3;20;15;(2,4);[5,7];35;3605.266;0.828571429
115;3;20;15;(2,4);[5,7];32;3601.704;0.843732892
116;3;20;15;(2,4);[5,7];37;3601.672;0.810810811
117;3;20;15;(2,4);[5,7];31;3602.437;0.870967742
118;3;20;15;(2,4);[5,7];46;3611.25;0.826086957
119;3;20;15;(2,4);[5,7];41;3610.516;0.853658537
120;3;20;15;(2,4);[5,7];33;3611.688;0.757575758
121;3;15;20;(2,4);[5,7];42;3608.36;0.809366651
122;3;15;20;(2,4);[5,7];29;3610.453;0.856551724
123;3;15;20;(2,4);[5,7];30.99999999;3607.578;0.806426682
124;3;15;20;(2,4);[5,7];28;3611.485;0.75
125;3;15;20;(2,4);[5,7];35;3606.016;0.828489352
126;3;15;20;(2,4);[5,7];31;3611.156;0.806451613
127;3;15;20;(2,4);[5,7];33;3611.688;0.787878788
128;3;15;20;(2,4);[5,7];38;3609.531;0.815789474
129;3;15;20;(2,4);[5,7];28;3610.25;0.821428571
130;3;15;20;(2,4);[5,7];36;3607.406;0.75
131;3;15;20;(2,4);[5,7];35;3605.594;0.742857143
132;3;15;20;(2,4);[5,7];29;3609.078;0.75862069
133;3;15;20;(2,4);[5,7];30;3600.546;0.733333333
134;3;15;20;(2,4);[5,7];36;3609.156;0.777777778
135;3;15;20;(2,4);[5,7];37;3609.469;0.810810811
136;3;15;20;(2,4);[5,7];32;3611.438;0.805070619
137;3;15;20;(2,4);[5,7];27;3613.125;0.814814815
138;3;15;20;(2,4);[5,7];29;3612.75;0.75862069
139;3;15;20;(2,4);[5,7];35;3606.828;0.799851641
140;3;15;20;(2,4);[5,7];31;3608.89;0.805998338
141;3;20;20;(2,4);[5,7];57;3609.641;0.859649123
142;3;20;20;(2,4);[5,7];46;3611.094;0.847826087
143;3;20;20;(2,4);[5,7];46.00000001;3608.672;0.869565217
144;3;20;20;(2,4);[5,7];48;3609.859;0.833333333
145;3;20;20;(2,4);[5,7];58;3610.328;0.844827586
146;3;20;20;(2,4);[5,7];47;3600.266;0.872284581
147;3;20;20;(2,4);[5,7];49;3609.688;0.836734694
148;3;20;20;(2,4);[5,7];43;3600.515;0.860465116
149;3;20;20;(2,4);[5,7];44;3600.25;0.840909091
150;3;20;20;(2,4);[5,7];51.99999999;3610.313;0.846153846
151;3;20;20;(2,4);[5,7];46;3610.328;0.847826087
152;3;20;20;(2,4);[5,7];49;3612.594;0.857142857
153;3;20;20;(2,4);[5,7];55;3611.093;0.854545455
154;3;20;20;(2,4);[5,7];43;3600.656;0.76744186
155;3;20;20;(2,4);[5,7];46;3610.844;0.804347826
156;3;20;20;(2,4);[5,7];51;3610.579;0.803921569
157;3;20;20;(2,4);[5,7];50;3611.344;0.86
158;3;20;20;(2,4);[5,7];51;3607.563;0.862745098
159;3;20;20;(2,4);[5,7];42;3609.234;0.833333333
160;3;20;20;(2,4);[5,7];50;3606.687;0.84
